NoA:10, NoC:10, NoS:2
STT | ETH ET1 ET2 | EVR1 EVR2 EVR3 EVR4 | WTH WTR1 WTR2 | MDH MDR1 MDR2 MDR3 MDR4 | PYH     | OUT 
INI |             |                     |               |                         |         |    
RUN |             |                     |               |                         |         |    
    | A00         |                     |               |                         |         |    
    | A01         |                     |               |                         |         |    
    | A03         |                     |               |                         |         |    
    | A02         |                     |               |                         |         |    
    | A05         |                     |               |                         |         |    
    | A06         |                     |               |                         |         |    
    | A04         |                     |               |                         |         |    
    | A07         |                     |               |                         |         |    
    | A08         |                     |               |                         |         |    
    | A09         |                     |               |                         |         |    
    | C00         |                     |               |                         |         |    
    | C01         |                     |               |                         |         |    
    | C02         |                     |               |                         |         |    
    | C04         |                     |               |                         |         |    
    | C05         |                     |               |                         |         |    
    | C06         |                     |               |                         |         |    
    | C03         |                     |               |                         |         |    
    | C07         |                     |               |                         |         |    
    | C08         |                     |               |                         |         |    
    | C09         |                     |               |                         |         |    
    |         A00 |                     |               |                         |         |    
    |     C00     |                     |               |                         |         |    
    |         A01 |                     |               |                         |         |    
    |             | A00                 |               |                         |         |    
    |     C01     |                     |               |                         |         |    
    |             | A00B                |               |                         |         |    
    |             |      C00            |               |                         |         |    
    |         A03 |                     |               |                         |         |    
    |             |                     |A00B           |                         |         |    
    |             |      C00B           |               |                         |         |    
    |             | A01                 |               |                         |         |    
    |     C02     |                     |               |                         |         |    
    |             |                     |C00B           |                         |         |    
    |             | A01Y                |               |                         |         |    
    |             |                     |          A00B |                         |         |    
STO |             |                     |               |                         |         |    
    |     C03     |                     |               |                         |         |    
    |     C05     |                     |               |                         |         |    
    |         A02 |                     |               |                         |         |    
    |     C04     |                     |               |                         |         |    
    |     C06     |                     |               |                         |         |    
    |         A05 |                     |               |                         |         |    
    |     C07     |                     |               |                         |         |    
    |     C08     |                     |               |                         |         |    
    |         A07 |                     |               |                         |         |    
    |     C09     |                     |               |                         |         |    
    |         A06 |                     |               |                         |         |    
    |         A04 |                     |               |                         |         |    
    |         A08 |                     |               |                         |         |    
    |         A09 |                     |               |                         |         |    
NoA:10, NoC:10, NoS:2
STT | ETH ET1 ET2 | EVR1 EVR2 EVR3 EVR4 | WTH WTR1 WTR2 | MDH MDR1 MDR2 MDR3 MDR4 | PYH     | OUT 
INI |             |                     |               |                         |         |    
RUN |             |                     |               |                         |         |    
    | A00         |                     |               |                         |         |    
    | A01         |                     |               |                         |         |    
    | A02         |                     |               |                         |         |    
    | A03         |                     |               |                         |         |    
    | A04         |                     |               |                         |         |    
    | A05         |                     |               |                         |         |    
    | A06         |                     |               |                         |         |    
    | A07         |                     |               |                         |         |    
    | A08         |                     |               |                         |         |    
    | A09         |                     |               |                         |         |    
    | C00         |                     |               |                         |         |    
    | C01         |                     |               |                         |         |    
    | C02         |                     |               |                         |         |    
    | C03         |                     |               |                         |         |    
    | C04         |                     |               |                         |         |    
    | C05         |                     |               |                         |         |    
    | C06         |                     |               |                         |         |    
    | C07         |                     |               |                         |         |    
    | C08         |                     |               |                         |         |    
    | C09         |                     |               |                         |         |    
    |         A00 |                     |               |                         |         |    
    |     C00     |                     |               |                         |         |    
    |         A01 |                     |               |                         |         |    
    |             | A00                 |               |                         |         |    
    |     C01     |                     |               |                         |         |    
    |             | A00R                |               |                         |         |    
    |             |      C00            |               |                         |         |    
    |         A02 |                     |               |                         |         |    
    |             |                     |A00R           |                         |         |    
    |             |      C00R           |               |                         |         |    
    |             | A01                 |               |                         |         |    
    |     C02     |                     |               |                         |         |    
    |             |                     |          A00R |                         |         |    
    |             |                     |C00R           |                         |         |    
    |             | A01B                |               |                         |         |    
    |             |      C01            |               |                         |         |    
    |         A03 |                     |               |                         |         |    
    |             |                     |     C00R      |                         |         |    
    |             |                     |A01B           |                         |         |    
    |             |      C01B           |               |                         |         |    
    |             | A02                 |               |                         |         |    
    |             |                     |          A01B |                         |         |    
    |             |                     |C01B           |                         |         |    
    |             | A02B                |               |                         |         |    
    |             |                     |               |A00R                     |         |    
    |     C03     |                     |               |                         |         |    
    |             |                     |A02B           |                         |         |    
    |             | C02                 |               |                         |         |    
    |             |                     |     C01B      |                         |         |    
    |             | C02B                |               |                         |         |    
    |             |                     |               |C00R                     |         |    
    |         A04 |                     |               |                         |         |    
    |             |                     |C02B           |                         |         |    
    |             |                     |               |               A00R      |         |    
    |             | A03                 |               |                         |         |    
    |             |                     |          A02B |                         |         |    
STO |             |                     |               |                         |         |    
    |         A05 |                     |               |                         |         |    
    |     C05     |                     |               |                         |         |    
    |         A09 |                     |               |                         |         |    
    |         A08 |                     |               |                         |         |    
    |         A07 |                     |               |                         |         |    
    |     C04     |                     |               |                         |         |    
    |         A06 |                     |               |                         |         |    
    |     C06     |                     |               |                         |         |    
    |     C07     |                     |               |                         |         |    
    |     C08     |                     |               |                         |         |    
    |     C09     |                     |               |                         |         |    
NoA:10, NoC:10, NoS:2
STT | ETH ET1 ET2 | EVR1 EVR2 EVR3 EVR4 | WTH WTR1 WTR2 | MDH MDR1 MDR2 MDR3 MDR4 | PYH     | OUT 
INI |             |                     |               |                         |         |    
RUN |             |                     |               |                         |         |    
    | A00         |                     |               |                         |         |    
    | A01         |                     |               |                         |         |    
    | A04         |                     |               |                         |         |    
    | A02         |                     |               |                         |         |    
    | A07         |                     |               |                         |         |    
    | A06         |                     |               |                         |         |    
    | A03         |                     |               |                         |         |    
    | A05         |                     |               |                         |         |    
    | A08         |                     |               |                         |         |    
    | A09         |                     |               |                         |         |    
    | C00         |                     |               |                         |         |    
    | C02         |                     |               |                         |         |    
    | C01         |                     |               |                         |         |    
    | C03         |                     |               |                         |         |    
    | C04         |                     |               |                         |         |    
    | C05         |                     |               |                         |         |    
    | C06         |                     |               |                         |         |    
    | C07         |                     |               |                         |         |    
    | C08         |                     |               |                         |         |    
    | C09         |                     |               |                         |         |    
    |         A00 |                     |               |                         |         |    
    |     C00     |                     |               |                         |         |    
    |         A01 |                     |               |                         |         |    
    |             | A00                 |               |                         |         |    
    |     C02     |                     |               |                         |         |    
    |             | A00Y                |               |                         |         |    
    |             |      C00            |               |                         |         |    
    |         A04 |                     |               |                         |         |    
    |             |                     |A00Y           |                         |         |    
